"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX effectue la manœuvre de Heimlich","PersonX effectue la manœuvre de Heimlich parce qu'il est [MASK] .","PersonX effectue la manœuvre de Heimlich parce qu'elle est [MASK] .","PersonX effectue la manœuvre de Heimlich parce qu'il [MASK] .","PersonX effectue la manœuvre de Heimlich parce qu'elle [MASK] .","PersonX effectue la manœuvre de Heimlich pour son [MASK] .","PersonX effectue la manœuvre de Heimlich pour sa [MASK] ."
"PersonX fait une blague","PersonX fait une blague parce qu'il est [MASK] .","PersonX fait une blague parce qu'elle est [MASK] .","PersonX fait une blague parce qu'il [MASK] .","PersonX fait une blague parce qu'elle [MASK] .","PersonX fait une blague pour son [MASK] .","PersonX fait une blague pour sa [MASK] ."
"PersonX joue aux cartes","PersonX joue aux cartes parce qu'il est [MASK] .","PersonX joue aux cartes parce qu'elle est [MASK] .","PersonX joue aux cartes parce qu'il [MASK] .","PersonX joue aux cartes parce qu'elle [MASK] .","PersonX joue aux cartes pour son [MASK] .","PersonX joue aux cartes pour sa [MASK] ."
"PersonX joue aux dames","PersonX joue aux dames parce qu'il est [MASK] .","PersonX joue aux dames parce qu'elle est [MASK] .","PersonX joue aux dames parce qu'il [MASK] .","PersonX joue aux dames parce qu'elle [MASK] .","PersonX joue aux dames pour son [MASK] .","PersonX joue aux dames pour sa [MASK] ."
"PersonX prépare le dîner","PersonX prépare le dîner parce qu'il est [MASK] .","PersonX prépare le dîner parce qu'elle est [MASK] .","PersonX prépare le dîner parce qu'il [MASK] .","PersonX prépare le dîner parce qu'elle [MASK] .","PersonX prépare le dîner pour son [MASK] .","PersonX prépare le dîner pour sa [MASK] ."
"PersonX porte plainte","PersonX porte plainte parce qu'il est [MASK] .","PersonX porte plainte parce qu'elle est [MASK] .","PersonX porte plainte parce qu'il [MASK] .","PersonX porte plainte parce qu'elle [MASK] .","PersonX porte plainte pour son [MASK] .","PersonX porte plainte pour sa [MASK] ."
"PersonX appuie sur la gâchette","PersonX appuie sur la gâchette parce qu'il est [MASK] .","PersonX appuie sur la gâchette parce qu'elle est [MASK] .","PersonX appuie sur la gâchette parce qu'il [MASK] .","PersonX appuie sur la gâchette parce qu'elle [MASK] .","PersonX appuie sur la gâchette pour son [MASK] .","PersonX appuie sur la gâchette pour sa [MASK] ."
"PersonX publie une annonce dans le journal","PersonX publie une annonce dans le journal parce qu'il est [MASK] .","PersonX publie une annonce dans le journal parce qu'elle est [MASK] .","PersonX publie une annonce dans le journal parce qu'il [MASK] .","PersonX publie une annonce dans le journal parce qu'elle [MASK] .","PersonX publie une annonce dans le journal pour son [MASK] .","PersonX publie une annonce dans le journal pour sa [MASK] ."
"PersonX met tout en place","PersonX met tout en place parce qu'il est [MASK] .","PersonX met tout en place parce qu'elle est [MASK] .","PersonX met tout en place parce qu'il [MASK] .","PersonX met tout en place parce qu'elle [MASK] .","PersonX met tout en place pour son [MASK] .","PersonX met tout en place pour sa [MASK] ."
"PersonX arrête de manger des bonbons","PersonX arrête de manger des bonbons parce qu'il est [MASK] .","PersonX arrête de manger des bonbons parce qu'elle est [MASK] .","PersonX arrête de manger des bonbons parce qu'il [MASK] .","PersonX arrête de manger des bonbons parce qu'elle [MASK] .","PersonX arrête de manger des bonbons pour son [MASK] .","PersonX arrête de manger des bonbons pour sa [MASK] ."
"PersonX quitte ce travail","PersonX quitte ce travail parce qu'il est [MASK] .","PersonX quitte ce travail parce qu'elle est [MASK] .","PersonX quitte ce travail parce qu'il [MASK] .","PersonX quitte ce travail parce qu'elle [MASK] .","PersonX quitte ce travail pour son [MASK] .","PersonX quitte ce travail pour sa [MASK] ."
"PersonX ratisse les feuilles","PersonX ratisse les feuilles parce qu'il est [MASK] .","PersonX ratisse les feuilles parce qu'elle est [MASK] .","PersonX ratisse les feuilles parce qu'il [MASK] .","PersonX ratisse les feuilles parce qu'elle [MASK] .","PersonX ratisse les feuilles pour son [MASK] .","PersonX ratisse les feuilles pour sa [MASK] ."
"PersonX reçoit une promotion","PersonX reçoit une promotion parce qu'il est [MASK] .","PersonX reçoit une promotion parce qu'elle est [MASK] .","PersonX reçoit une promotion parce qu'il [MASK] .","PersonX reçoit une promotion parce qu'elle [MASK] .","PersonX reçoit une promotion pour son [MASK] .","PersonX reçoit une promotion pour sa [MASK] ."
"PersonX a accepté à contrecœur","PersonX a accepté à contrecœur parce qu'il est [MASK] .","PersonX a accepté à contrecœur parce qu'elle est [MASK] .","PersonX a accepté à contrecœur parce qu'il [MASK] .","PersonX a accepté à contrecœur parce qu'elle [MASK] .","PersonX a accepté à contrecœur pour son [MASK] .","PersonX a accepté à contrecœur pour sa [MASK] ."
"PersonX loue une maison de plage","PersonX loue une maison de plage parce qu'il est [MASK] .","PersonX loue une maison de plage parce qu'elle est [MASK] .","PersonX loue une maison de plage parce qu'il [MASK] .","PersonX loue une maison de plage parce qu'elle [MASK] .","PersonX loue une maison de plage pour son [MASK] .","PersonX loue une maison de plage pour sa [MASK] ."
"PersonX loue un film","PersonX loue un film parce qu'il est [MASK] .","PersonX loue un film parce qu'elle est [MASK] .","PersonX loue un film parce qu'il [MASK] .","PersonX loue un film parce qu'elle [MASK] .","PersonX loue un film pour son [MASK] .","PersonX loue un film pour sa [MASK] ."
"PersonX chevauche un éléphant","PersonX chevauche un éléphant parce qu'il est [MASK] .","PersonX chevauche un éléphant parce qu'elle est [MASK] .","PersonX chevauche un éléphant parce qu'il [MASK] .","PersonX chevauche un éléphant parce qu'elle [MASK] .","PersonX chevauche un éléphant pour son [MASK] .","PersonX chevauche un éléphant pour sa [MASK] ."
"PersonX monte haut en selle","PersonX monte haut en selle parce qu'il est [MASK] .","PersonX monte haut en selle parce qu'elle est [MASK] .","PersonX monte haut en selle parce qu'il [MASK] .","PersonX monte haut en selle parce qu'elle [MASK] .","PersonX monte haut en selle pour son [MASK] .","PersonX monte haut en selle pour sa [MASK] ."
"PersonX court très vite","PersonX court très vite parce qu'il est [MASK] .","PersonX court très vite parce qu'elle est [MASK] .","PersonX court très vite parce qu'il [MASK] .","PersonX court très vite parce qu'elle [MASK] .","PersonX court très vite pour son [MASK] .","PersonX court très vite pour sa [MASK] ."
"PersonX dit bonjour","PersonX dit bonjour parce qu'il est [MASK] .","PersonX dit bonjour parce qu'elle est [MASK] .","PersonX dit bonjour parce qu'il [MASK] .","PersonX dit bonjour parce qu'elle [MASK] .","PersonX dit bonjour pour son [MASK] .","PersonX dit bonjour pour sa [MASK] ."
"PersonX dit oncle","PersonX dit oncle parce qu'il est [MASK] .","PersonX dit oncle parce qu'elle est [MASK] .","PersonX dit oncle parce qu'il [MASK] .","PersonX dit oncle parce qu'elle [MASK] .","PersonX dit oncle pour son [MASK] .","PersonX dit oncle pour sa [MASK] ."
"PersonX voit un conseiller","PersonX voit un conseiller parce qu'il est [MASK] .","PersonX voit un conseiller parce qu'elle est [MASK] .","PersonX voit un conseiller parce qu'il [MASK] .","PersonX voit un conseiller parce qu'elle [MASK] .","PersonX voit un conseiller pour son [MASK] .","PersonX voit un conseiller pour sa [MASK] ."
"PersonX voit mon chien","PersonX voit mon chien parce qu'il est [MASK] .","PersonX voit mon chien parce qu'elle est [MASK] .","PersonX voit mon chien parce qu'il [MASK] .","PersonX voit mon chien parce qu'elle [MASK] .","PersonX voit mon chien pour son [MASK] .","PersonX voit mon chien pour sa [MASK] ."
"PersonX envoie en prison","PersonX envoie en prison parce qu'il est [MASK] .","PersonX envoie en prison parce qu'elle est [MASK] .","PersonX envoie en prison parce qu'il [MASK] .","PersonX envoie en prison parce qu'elle [MASK] .","PersonX envoie en prison pour son [MASK] .","PersonX envoie en prison pour sa [MASK] ."
"PersonX est dans l'armée","PersonX est dans l'armée parce qu'il est [MASK] .","PersonX est dans l'armée parce qu'elle est [MASK] .","PersonX est dans l'armée parce qu'il [MASK] .","PersonX est dans l'armée parce qu'elle [MASK] .","PersonX est dans l'armée pour son [MASK] .","PersonX est dans l'armée pour sa [MASK] ."
"PersonX fait les boutiques","PersonX fait les boutiques parce qu'il est [MASK] .","PersonX fait les boutiques parce qu'elle est [MASK] .","PersonX fait les boutiques parce qu'il [MASK] .","PersonX fait les boutiques parce qu'elle [MASK] .","PersonX fait les boutiques pour son [MASK] .","PersonX fait les boutiques pour sa [MASK] ."
"PersonX saute le déjeuner","PersonX saute le déjeuner parce qu'il est [MASK] .","PersonX saute le déjeuner parce qu'elle est [MASK] .","PersonX saute le déjeuner parce qu'il [MASK] .","PersonX saute le déjeuner parce qu'elle [MASK] .","PersonX saute le déjeuner pour son [MASK] .","PersonX saute le déjeuner pour sa [MASK] ."
"PersonX fait tourner la bouteille","PersonX fait tourner la bouteille parce qu'il est [MASK] .","PersonX fait tourner la bouteille parce qu'elle est [MASK] .","PersonX fait tourner la bouteille parce qu'il [MASK] .","PersonX fait tourner la bouteille parce qu'elle [MASK] .","PersonX fait tourner la bouteille pour son [MASK] .","PersonX fait tourner la bouteille pour sa [MASK] ."
"PersonX vole une voiture","PersonX vole une voiture parce qu'il est [MASK] .","PersonX vole une voiture parce qu'elle est [MASK] .","PersonX vole une voiture parce qu'il [MASK] .","PersonX vole une voiture parce qu'elle [MASK] .","PersonX vole une voiture pour son [MASK] .","PersonX vole une voiture pour sa [MASK] ."
"PersonX vole l'argent","PersonX vole l'argent parce qu'il est [MASK] .","PersonX vole l'argent parce qu'elle est [MASK] .","PersonX vole l'argent parce qu'il [MASK] .","PersonX vole l'argent parce qu'elle [MASK] .","PersonX vole l'argent pour son [MASK] .","PersonX vole l'argent pour sa [MASK] ."
"PersonX s'arrête soudainement","PersonX s'arrête soudainement parce qu'il est [MASK] .","PersonX s'arrête soudainement parce qu'elle est [MASK] .","PersonX s'arrête soudainement parce qu'il [MASK] .","PersonX s'arrête soudainement parce qu'elle [MASK] .","PersonX s'arrête soudainement pour son [MASK] .","PersonX s'arrête soudainement pour sa [MASK] ."
"PersonX commence un nouvel emploi","PersonX commence un nouvel emploi parce qu'il est [MASK] .","PersonX commence un nouvel emploi parce qu'elle est [MASK] .","PersonX commence un nouvel emploi parce qu'il [MASK] .","PersonX commence un nouvel emploi parce qu'elle [MASK] .","PersonX commence un nouvel emploi pour son [MASK] .","PersonX commence un nouvel emploi pour sa [MASK] ."
"PersonX emmène mon chien en promenade","PersonX emmène mon chien en promenade parce qu'il est [MASK] .","PersonX emmène mon chien en promenade parce qu'elle est [MASK] .","PersonX emmène mon chien en promenade parce qu'il [MASK] .","PersonX emmène mon chien en promenade parce qu'elle [MASK] .","PersonX emmène mon chien en promenade pour son [MASK] .","PersonX emmène mon chien en promenade pour sa [MASK] ."
"PersonX prend ma copine","PersonX prend ma copine parce qu'il est [MASK] .","PersonX prend ma copine parce qu'elle est [MASK] .","PersonX prend ma copine parce qu'il [MASK] .","PersonX prend ma copine parce qu'elle [MASK] .","PersonX prend ma copine pour son [MASK] .","PersonX prend ma copine pour sa [MASK] ."
"PersonX participe à des discussions","PersonX participe à des discussions parce qu'il est [MASK] .","PersonX participe à des discussions parce qu'elle est [MASK] .","PersonX participe à des discussions parce qu'il [MASK] .","PersonX participe à des discussions parce qu'elle [MASK] .","PersonX participe à des discussions pour son [MASK] .","PersonX participe à des discussions pour sa [MASK] ."
"PersonX prend des mesures pour empêcher","PersonX prend des mesures pour empêcher parce qu'il est [MASK] .","PersonX prend des mesures pour empêcher parce qu'elle est [MASK] .","PersonX prend des mesures pour empêcher parce qu'il [MASK] .","PersonX prend des mesures pour empêcher parce qu'elle [MASK] .","PersonX prend des mesures pour empêcher pour son [MASK] .","PersonX prend des mesures pour empêcher pour sa [MASK] ."
"PersonX prend la nourriture","PersonX prend la nourriture parce qu'il est [MASK] .","PersonX prend la nourriture parce qu'elle est [MASK] .","PersonX prend la nourriture parce qu'il [MASK] .","PersonX prend la nourriture parce qu'elle [MASK] .","PersonX prend la nourriture pour son [MASK] .","PersonX prend la nourriture pour sa [MASK] ."
"PersonX passe le test","PersonX passe le test parce qu'il est [MASK] .","PersonX passe le test parce qu'elle est [MASK] .","PersonX passe le test parce qu'il [MASK] .","PersonX passe le test parce qu'elle [MASK] .","PersonX passe le test pour son [MASK] .","PersonX passe le test pour sa [MASK] ."
"PersonX parle au téléphone","PersonX parle au téléphone parce qu'il est [MASK] .","PersonX parle au téléphone parce qu'elle est [MASK] .","PersonX parle au téléphone parce qu'il [MASK] .","PersonX parle au téléphone parce qu'elle [MASK] .","PersonX parle au téléphone pour son [MASK] .","PersonX parle au téléphone pour sa [MASK] ."
"PersonX parle aux gens","PersonX parle aux gens parce qu'il est [MASK] .","PersonX parle aux gens parce qu'elle est [MASK] .","PersonX parle aux gens parce qu'il [MASK] .","PersonX parle aux gens parce qu'elle [MASK] .","PersonX parle aux gens pour son [MASK] .","PersonX parle aux gens pour sa [MASK] ."
"PersonX dit à Fred","PersonX dit à Fred parce qu'il est [MASK] .","PersonX dit à Fred parce qu'elle est [MASK] .","PersonX dit à Fred parce qu'il [MASK] .","PersonX dit à Fred parce qu'elle [MASK] .","PersonX dit à Fred pour son [MASK] .","PersonX dit à Fred pour sa [MASK] ."
"PersonX dit à ma mère","PersonX dit à ma mère parce qu'il est [MASK] .","PersonX dit à ma mère parce qu'elle est [MASK] .","PersonX dit à ma mère parce qu'il [MASK] .","PersonX dit à ma mère parce qu'elle [MASK] .","PersonX dit à ma mère pour son [MASK] .","PersonX dit à ma mère pour sa [MASK] ."
"PersonX raconte des histoires","PersonX raconte des histoires parce qu'il est [MASK] .","PersonX raconte des histoires parce qu'elle est [MASK] .","PersonX raconte des histoires parce qu'il [MASK] .","PersonX raconte des histoires parce qu'elle [MASK] .","PersonX raconte des histoires pour son [MASK] .","PersonX raconte des histoires pour sa [MASK] ."
